year,state,country,shape,duration,latitude,longtitude
2008,North Carolina,us,sphere,20,35.6708333,-80.4744444
2008,Connecticut,us,circle,7200,41.1669444,-73.2052778
2008,Maryland,us,sphere,7200,39.5122222,-76.7697222
2008,California,us,light,60,33.9533333,-117.3952778
2008,Florida,us,triangle,30,26.1416667,-81.7950000
2008,Texas,us,light,900,31.2577778,-95.9780556
2008,New Mexico,us,fireball,120,35.0844444,-106.6505556
2008,California,us,triangle,30,34.0522222,-118.2427778
2009,New York,us,other,10800,40.7616667,-73.3297222
2009,Maryland,us,light,600,37.9833333,-75.8541667
2009,Michigan,us,triangle,20,42.3713889,-83.4702778
2009,Arizona,us,egg,1200,33.5386111,-112.1852778
2009,Kentucky,us,disk,120,38.2541667,-85.7594444
2009,Florida,us,oval,3,26.7052778,-80.0366667
2009,Rhode Island,us,circle,15,41.9666667,-71.5500000
2009,Indiana,us,flash,540,39.5741667,-86.8652778
2009,Wisconsin,us,light,180,43.0730556,-89.4011111
2010,California,us,other,1200,33.8491667,-118.3875000
2010,New York,us,oval,120,42.6525000,-73.7566667
2010,Florida,us,sphere,2400,26.7052778,-80.0366667
2010,California,us,changing,2700,38.6786111,-121.2247222
2010,Minnesota,us,light,240,44.8277778,-92.9436111
2010,California,us,circle,60,34.1361111,-117.8644444
2010,California,us,triangle,5,33.0416667,-116.8672222
2010,California,us,other,15,37.5958333,-122.0180556
2011,Illinois,us,chevron,120,37.8902778,-88.3030556
2011,Nevada,us,other,180,36.0397222,-114.9811111
2011,Utah,us,light,8,37.6775000,-113.0611111
2011,Iowa,us,light,90,41.6005556,-93.6088889
2011,Massachusetts,us,circle,1800,41.6361111,-70.9347222
2011,Connecticut,us,other,300,41.3325000,-73.2077778
2011,North Carolina,us,circle,30,33.9133333,-78.3041667
2011,Kentucky,us,unknown,480,37.7622222,-84.8433333
2012,Massachusetts,us,unknown,4,42.2625000,-71.8027778
2012,New Jersey,us,sphere,3600,40.6377778,-74.4513889
2012,Massachusetts,us,light,2,42.6105556,-71.2347222
2012,Indiana,us,cigar,7200,41.6347222,-84.9994444
2012,Maryland,us,light,300,39.2544444,-76.7002778
2012,Pennsylvania,us,fireball,720,41.2788889,-75.8786111
2012,New York,us,circle,300,43.0830556,-73.7850000
2012,Pennsylvania,us,diamond,60,41.2052778,-76.0052778
2012,New Mexico,us,fireball,120,32.3122222,-106.7777778
2012,Washington,us,triangle,10,47.3525000,-121.9825000
2012,Pennsylvania,us,diamond,60,40.1550000,-74.8291667
2012,Arizona,us,sphere,30,33.4483333,-112.0733333
2012,Illinois,us,circle,45,41.6572222,-87.6800000
2013,Michigan,us,chevron,4,43.4194444,-83.9508333
2013,Iowa,us,circle,120,41.7297222,-93.6055556
2013,Florida,us,light,15,26.8230556,-80.1388889
2013,Michigan,us,fireball,600,42.2916667,-85.5872222
2013,Kansas,us,unknown,240,38.9716667,-95.2350000
2013,Vermont,us,light,60,44.4905556,-73.1113889
2013,Ohio,us,circle,300,39.1619444,-84.4569444
2013,Ohio,us,fireball,240,39.1619444,-84.4569444
2013,Florida,us,light,7200,26.1416667,-81.7950000
2013,Ohio,us,fireball,60,39.1619444,-84.4569444
2013,Kentucky,us,fireball,300,38.9458333,-84.6805556
