2011 pa us circle 15 39.9625000 -76.7280556
2011 ne us circle 3 41.1238889 -100.7650000
2011 oh us triangle 90 39.5297222 -84.0866667
2012 ct us circle 630 41.1669444 -73.2052778
2012 ca us sphere 240 32.7152778 -117.1563889
2012 mi us oval 120 42.5802778 -83.0302778
2012 ny us light 900 43.0480556 -76.1477778
2012 ny us circle 240 43.0480556 -76.1477778
2012 co us light 20 38.8338889 -104.8208333
2012 al us changing 240 32.9975000 -87.6300000
2012 ny us disk 1800 40.7141667 -74.0063889
2012 nm us fireball 120 32.3122222 -106.7777778
2012 il us light 240 37.7305556 -88.9330556
2012 ca us other 6 37.3394444 -121.8938889
2012 az us sphere 300 33.4483333 -112.0733333
2012 wa us light 240 46.6022222 -120.5047222
2012 tx us changing 1200 30.2669444 -97.7427778
2012 tn us cigar 180 36.3436111 -83.2841667
2012 wa us light 600 46.8219444 -123.0950000
2012 ny us cylinder 20 41.1147222 -74.1500000
2012 ca us rectangle 5 33.7397222 -116.4119444
2013 fl us chevron 5 28.0777778 -82.7638889
2013 mo us light 10800 38.6272222 -90.1977778
2013 oh us light 60 40.9780556 -81.7822222
2013 vt us light 120 44.4905556 -73.1113889
2013 la us circle 600 29.9938889 -90.2416667
2013 oh us circle 300 39.7463889 -84.2866667
2013 nh us light 5 42.7647222 -71.4402778
2013 mi us light 1200 42.9275000 -83.6300000
2013 mn us circle 60 44.7791667 -93.3361111
2013 mi us sphere 45 42.4775000 -83.0277778
2013 mi us triangle 180 42.3086111 -83.4822222
2013 wv us triangle 45 39.1611111 -80.3522222
2013 nh us light 1 42.7647222 -71.4402778
1973 fl us egg 14400 26.9338889 -80.0944444
1978 mi us circle 300 42.5294444 -83.7802778
1987 mn us light 30 44.9133333 -93.5030556
1987 mo us fireball 60 38.3708333 -90.5002778
1989 il us sphere 180 41.2455556 -89.9247222
1989 il us sphere 300 41.2455556 -89.9247222
1992 nm us sphere 900 35.0844444 -106.6505556
1994 nj us triangle 300 39.7763889 -74.8627778
1994 ca us chevron 4 33.9533333 -117.3952778
1995 ny us other 720 40.7141667 -74.0063889
1995 wv us other 120 38.4191667 -82.4452778
1996 va us light 60 36.6336111 -81.7838889
1998 ca us other 3600 37.5422222 -122.5150000
1998 pr us cigar 120 18.4463889 -66.3880556
1998 tn us light 10 36.5452778 -82.6611111
1998 in us sphere 14400 39.7944444 -87.3958333
1998 me us sphere 30 44.3875000 -68.2044444
1998 ca us fireball 4 38.4088889 -121.3705556
1999 al us light 180 32.3666667 -86.3000000
1999 ca us light 300 34.0522222 -118.2427778
1999 mi us oval 600 41.9438889 -85.6325000
1999 or us light 10 45.2630556 -122.6913889
1999 ny us oval 30 42.0386111 -78.3411111
1999 ny us oval 30 42.0386111 -78.3411111
1999 ny us oval 60 42.0386111 -78.3411111
1999 ny us oval 60 42.0386111 -78.3411111
1999 mo us other 5400 36.6230556 -93.1638889
1999 nv us cigar 2 40.9730556 -117.7347222
1999 or us triangle 45 42.1947222 -122.7083333
1999 ks us light 600 37.6866667 -96.9763889
1999 tx us light 3600 30.3880556 -95.6961111
1999 ar us light 900 36.4011111 -93.7377778
1999 il us disk 600 41.9316667 -87.9888889
2000 ny us light 30 43.9747222 -75.9111111
2000 ca us light 30 38.7138889 -121.4616667
2000 ca us light 1500 33.9791667 -118.0319444
2001 wi us light 10800 45.1244444 -92.6733333
2001 ak us other 1800 64.8377778 -147.7163889
